year,Bananas,Beans,Beef and Veal,Eggs,Maize,Milk,Pigmeat,Plantains,Potatoes,Poultry Meat,Quinoa,Refined Sugar,Rice,Sorghum,Soybeans,Wheat
2006,NA,38.76866622,-124.5815383,0,929.0369564,-13.89510292,-579.4514451,0,-1159.38,-548.6636924,0.367540628,0,249.3827342,92.99453722,125.4230885,NA
2007,NA,0,-124.3035484,0,695.0270036,-13.93900959,-480.2795601,0,-253.2900252,-481.7824188,0.339261621,0.013475119,338.32066150000003,139.0034263,309.3430801,NA
2008,NA,0,-2392.31,0,0,-2.947378221,-31.16445238,7.172415244,4.392490029,-35.74428992,0.340271413,-227.2172125,365.1448869,77.2698542,11.70994568,NA
2009,NA,274.0604945,-4602.78,0,1423.73,-15.2331747,-674.9252791,38.40214991,1.379345894,-838.4035172,0.306167662,-454.4215715,346.1805566,55.20625359,17.65543938,NA
2010,260.2046973,302.6304278,-17.99871128,-13.60082922,496.7633895,442.8525257,-20.41398762,NA,7.104800084,-420.3525167,NA,272.5668169,-322.32273,0,74.79949757,99.58514443
2011,291.3210319,461.6682816,30.67823608,16.02999228,-418.6464718,538.4100519,62.31395902,NA,4.288510882,501.8985163,NA,82.89242243,-242.2434042,0,-1223.438964,134.0420214
2012,141.0235355,368.1077406,70.1420818,32.29243133,-976.0989007,547.0855722,41.64624419,NA,5.981967482,1020.766761,NA,414.3219546,-478.831288,0,-1975.387898,197.6994652
2013,-32.09662775,268.607371,48.44340696,19.46209236,-628.3118022,515.0896421,-30.04791275,NA,3.848777482,628.4116929,NA,172.9406455,-248.0434725,0,-1018.810831,69.92527617
2014,-26.93018404,506.1712933,27.81011496,9.125525586,-181.588435,336.5913668,-53.89111774,NA,1.253720189,324.9224852,NA,178.655734,-2.372654709,0,-1244.833326,123.260504
2015,-27.14670877,389.7091169,45.15036425,26.88085269,-656.3194559,974.146585,670.6933998,NA,33.03966291,926.7881528,NA,-763.6950498,-88.32336445,0,-3017.577096,-53.71017568
2016,160.0253475,368.6995064,3.624496065,-0.001963024,93.05491499,987.6057367,516.1627517,NA,77.0812683,-2.373663598,NA,233.0976586,-234.9953412,0,-502.5779937,90.85880164
2017,10.28374519,474.6942335,15.72429341,9.230315264,-200.8900182,1032.019134,223.6805843,NA,61.67829698,329.1110514,NA,-450.379957,-297.1830117,0,-1174.184659,237.4385587
2018,167.8333292,553.3665055,35.52368257,20.4022884,-635.61684,1028.589798,349.9485359,NA,119.4503628,680.9755189,NA,545.9994119,-288.0830048,0.05486,-1689.343383,194.0094715
2019,261.3475029,506.6263488,33.0922755,13.37454055,-151.9487978,852.8891219,537.5260437,NA,696.1918368,455.5430013,NA,390.0944383,-227.7712664,0.037604999,-2207.950691,187.0519608
2020,62.67087128,314.2491503,36.50721123,11.95543438,-322.6530258,540.6386761,217.0276474,NA,1020.680731,402.4508816,NA,362.4990343,-223.957856,0.02738036,-1022.230997,192.8116226
2021,-90.99510315,164.7116859,53.24771426,16.90591449,-538.6956465,392.5808958,215.9017692,NA,493.6631589,664.8608573,NA,224.7479125,-448.0165346,0.045199726,-1822.84801,113.5048558
2022,-231.6759262,10.90134653,31.23709703,6.561081092,-179.094613,132.6055363,377.4183773,NA,972.4436572,281.756355,NA,283.0271475,-233.0677598,0.214999303,-797.7119302,203.2808956
2023,-125.7546075,55.97654756,65.60202074,19.39871582,-916.4400819,335.0510272,421.2633265,NA,2315.463722,739.2193174,NA,331.1226522,-692.1621225,0.299323313,-491.5175183,-43.8390456
