year,TOTAL,PRODUCTIVOS,Agropecuario,Hidrocarburos,Energía,Industria y Turismo,Minero,INFRAESTRUCTURA,Transportes,Recursos Hídricos,Comunicaciones,SOCIALES,Educación y Cultura,"Salud, Seguridad Social y Deportes",Saneamiento Básico,Urbanismo y Vivienda,MULTISECTORIALES,agro_share_pct
1990,315,162,35,101,24,1,2,91,67,3,21,58,0,15,38,4,4,11.11111111111111
1991,420,226,51,118,52,2,4,125,113,5,7,37,2,11,14,11,32,12.142857142857142
1992,532,249,55,117,70,3,4,190,170,5,15,85,8,22,34,21,8,10.338345864661653
1993,481,173,38,95,35,1,4,215,177,5,33,85,8,22,35,19,8,7.900207900207901
1994,557,168,14,111,36,1,6,220,206,6,7,140,17,27,44,52,30,2.5134649910233393
1995,673,160,19,74,58,1,8,230,209,14,7,237,48,33,59,98,46,2.823179791976226
1996,735,133,21,67,38,1,6,252,242,10,0,298,79,38,105,76,52,2.857142857142857
1997,714,104,33,35,24,7,5,234,223,10,0,319,99,40,104,75,57,4.621848739495799
1998,505,78,53,2,15,4,4,162,153,9,0,245,64,35,82,64,20,10.495049504950495
1999,531,64,42,3,12,4,4,166,160,6,0,265,76,41,99,48,36,7.909604519774012
2000,583,75,53,0,13,6,3,190,182,8,0,285,84,61,91,50,34,9.090909090909092
2001,639,83,59,0,16,6,2,214,202,12,0,295,107,49,74,64,47,9.233176838810643
2002,585,76,54,0,13,7,3,209,190,18,0,251,96,53,45,57,48,9.230769230769232
2003,500,62,41,0,13,5,3,214,203,11,0,187,66,37,34,51,36,8.200000000000001
2004,602,73,49,0,18,4,1,279,264,14,0,221,54,45,67,54,29,8.13953488372093
2005,629,92,57,4,20,7,3,306,289,17,0,194,42,40,51,60,38,9.062003179650238
2006,879,142,76,7,44,11,3,437,409,27,1,263,75,61,56,70,37,8.64618885096701
2007,1005,192,83,8,70,20,11,481,450,30,1,284,78,63,61,83,48,8.258706467661693
2008,1351,227,82,13,80,18,34,570,490,33,47,427,124,80,50,173,127,6.069578090303479
2009,1439,267,90,31,83,15,48,612,537,38,37,475,151,91,79,153,85,6.254343293954134
2010,1521,303,84,109,71,12,28,654,601,44,9,472,177,72,79,144,93,5.522682445759369
2011,2182,658,135,308,107,19,89,853,722,45,85,566,170,80,120,196,104,6.18698441796517
2012,2897,933,180,488,123,70,71,1035,897,56,82,743,233,93,157,260,187,6.213324128408699
2013,3781,1190,223,578,173,101,114,1329,1083,108,138,1084,326,151,202,405,178,5.897910605659878
2014,4507,1363,275,646,214,119,108,1440,1310,95,34,1448,455,158,255,580,257,6.101619702684713
2015,4892,1709,320,678,312,208,190,1696,1609,68,20,1341,394,357,230,361,146,6.541291905151267
2016,5065,1866,236,530,875,127,98,1822,1692,47,83,1192,332,336,185,338,185,4.659427443237908
2017,4772,1720,227,341,823,213,115,1628,1507,22,99,1194,349,306,244,295,230,4.756915339480302
2018,4458,1420,274,162,602,191,191,1518,1404,23,91,1278,329,395,274,280,241,6.146253925527143
2019,3769,1107,247,134,445,124,156,1307,1175,43,88,1171,251,375,255,290,185,6.553462456885116
2020,1784,474,134,87,160,35,58,517,463,29,25,711,103,266,160,181,82,7.511210762331838
2021,2646,863,182,106,349,44,181,881,813,32,35,791,129,313,183,166,111,6.878306878306878
2022,2634,938,188,150,249,119,233,843,731,43,69,760,101,284,183,192,92,7.137433561123766
2023,2658,1131,244,296,235,225,131,673,589,30,53,735,164,181,144,245,119,9.179834462001505
2024,2430,936,261,160,204,232,78,609,572,16,21,773,194,162,124,292,113,10.74074074074074
