year,level_0,area_ha
1985,Natural,103157302.582206
1985,Antropico,5229342.61795259
1985,No definido,850.770620379643
1986,Natural,103190357.429599
1986,Antropico,5196296.45269469
1986,No definido,842.171261181645
1987,Natural,103306400.528836
1987,Antropico,5080256.78555396
1987,No definido,838.739162500005
1988,Natural,103351193.209309
1988,Antropico,5035456.90097487
1988,No definido,846.027793243413
1989,Natural,103333988.622811
1989,Antropico,5052658.19541829
1989,No definido,849.319846026616
1990,Natural,103118680.845649
1990,Antropico,5267969.27512267
1990,No definido,846.017305285649
1991,Natural,103055140.581799
1991,Antropico,5331513.4463617
1991,No definido,842.109915753178
1992,Natural,102875398.40438
1992,Antropico,5511251.78573416
1992,No definido,845.947956994633
1993,Natural,102809081.944843
1993,Antropico,5577566.63166433
1993,No definido,847.561567639164
1994,Natural,102625865.678499
1994,Antropico,5760785.67223427
1994,No definido,844.78734407349
1995,Natural,102471206.182599
1995,Antropico,5915445.57102555
1995,No definido,844.384452233891
1996,Natural,102156307.41034
1996,Antropico,6230344.27728819
1996,No definido,844.450446923832
1997,Natural,102013820.186407
1997,Antropico,6372841.43049575
1997,No definido,834.521174444584
1998,Natural,101849260.59866
1998,Antropico,6537407.27794097
1998,No definido,828.261476269536
1999,Natural,101655674.643088
1999,Antropico,6730999.28798585
1999,No definido,822.207003063969
2000,Natural,101519713.396467
2000,Antropico,6866937.14925681
2000,No definido,845.592345874028
2001,Natural,101335502.350004
2001,Antropico,7051182.45260194
2001,No definido,811.335471453864
2002,Natural,101242131.562778
2002,Antropico,7144526.27851492
2002,No definido,838.29678468018
2003,Natural,100990345.361071
2003,Antropico,7396300.69953475
2003,No definido,850.077471948246
2004,Natural,100914860.960271
2004,Antropico,7471783.24969848
2004,No definido,851.92810534058
2005,Natural,100789471.294257
2005,Antropico,7597186.81268736
2005,No definido,838.031130328373
2006,Natural,100636242.317368
2006,Antropico,7750414.13898473
2006,No definido,839.681724267582
2007,Natural,100450558.165724
2007,Antropico,7936100.67883341
2007,No definido,837.293518841557
2008,Natural,100079052.197806
2008,Antropico,8307612.20453244
2008,No definido,831.735737902836
2009,Natural,99895294.1158547
2009,Antropico,8491382.60671406
2009,No definido,819.415508404547
2010,Natural,99763934.9173865
2010,Antropico,8622708.69599014
2010,No definido,852.524700042728
2011,Natural,99555921.691915
2011,Antropico,8830794.69954519
2011,No definido,779.746616467287
2012,Natural,99280685.4005229
2012,Antropico,9106004.59373979
2012,No definido,806.14381414185
2013,Natural,99149190.7990693
2013,Antropico,9237457.6657158
2013,No definido,847.673288476567
2014,Natural,98961241.1732227
2014,Antropico,9425415.66768674
2014,No definido,839.297167132573
2015,Natural,98737666.264984
2015,Antropico,9648988.67098861
2015,No definido,841.202104132085
2016,Natural,98397355.9654997
2016,Antropico,9989297.28255256
2016,No definido,842.89002450562
2017,Natural,98097295.4180343
2017,Antropico,10289359.1888291
2017,No definido,841.531213446049
2018,Natural,97672760.1107591
2018,Antropico,10713896.3320433
2018,No definido,839.695273101811
2019,Natural,97253111.0906674
2019,Antropico,11133551.7153766
2019,No definido,833.332033874516
2020,Natural,96705251.9221376
2020,Antropico,11681417.7383475
2020,No definido,826.392220977788
2021,Natural,96076701.692847
2021,Antropico,12309985.8993621
2021,No definido,808.376621453866
2022,Natural,95536559.1603157
2022,Antropico,12850151.9627153
2022,No definido,784.845802166753
2023,Natural,94884057.9840019
2023,Antropico,13502635.2664643
2023,No definido,802.718365863041
2024,Natural,93729753.4583373
2024,Antropico,14656939.023649
2024,No definido,0
