destino,dept,year,deuda_mm_bob
RIEGO,Potosí,2005,1.4
RIEGO,Santa Cruz,2005,133.8
RIEGO,Tarija,2005,0.8
CAMINOS,Oruro,2005,4.7
CAMINOS,Pando,2005,8.1
CAMINOS,Potosí,2005,157.7
CAMINOS,Santa Cruz,2005,188.6
RIEGO,Potosí,2006,1.4
RIEGO,Santa Cruz,2006,141
RIEGO,Tarija,2006,1.4
CAMINOS,Oruro,2006,4.2
CAMINOS,Pando,2006,7.8
CAMINOS,Potosí,2006,165.7
CAMINOS,Santa Cruz,2006,175.3
RIEGO,Potosí,2007,1.3
RIEGO,Santa Cruz,2007,148.7
RIEGO,Tarija,2007,1.3
CAMINOS,Oruro,2007,20.3
CAMINOS,Pando,2007,7.1
CAMINOS,Potosí,2007,178.4
CAMINOS,Santa Cruz,2007,153.3
RIEGO,Potosí,2008,1.1
RIEGO,Santa Cruz,2008,156
RIEGO,Tarija,2008,1.1
CAMINOS,Oruro,2008,14.3
CAMINOS,Pando,2008,5.9
CAMINOS,Potosí,2008,230.1
CAMINOS,Santa Cruz,2008,125.2
RIEGO,Potosí,2009,1
RIEGO,Santa Cruz,2009,156.6
RIEGO,Tarija,2009,1
CAMINOS,Oruro,2009,9.8
CAMINOS,Pando,2009,5.3
CAMINOS,Potosí,2009,205.1
CAMINOS,Santa Cruz,2009,108.4
RIEGO,Potosí,2010,0.9
RIEGO,Santa Cruz,2010,150.5
RIEGO,Tarija,2010,0.9
CAMINOS,Oruro,2010,5.4
CAMINOS,Pando,2010,4.6
CAMINOS,Potosí,2010,179.5
CAMINOS,Santa Cruz,2010,91.2
RIEGO,Potosí,2011,0.7
RIEGO,Santa Cruz,2011,152.5
RIEGO,Tarija,2011,156.2
CAMINOS,Oruro,2011,1
CAMINOS,Pando,2011,4
CAMINOS,Potosí,2011,192.6
CAMINOS,Santa Cruz,2011,73.4
RIEGO,Potosí,2012,0.6
RIEGO,Santa Cruz,2012,152.8
RIEGO,Tarija,2012,156.2
CAMINOS,Oruro,2012,0.4
CAMINOS,Pando,2012,11.3
CAMINOS,Potosí,2012,161.8
CAMINOS,Santa Cruz,2012,56.6
RIEGO,Potosí,2013,0.5
RIEGO,Santa Cruz,2013,153.2
RIEGO,Tarija,2013,156.2
CAMINOS,Oruro,2013,0.4
CAMINOS,Pando,2013,9.8
CAMINOS,Potosí,2013,132.3
CAMINOS,Santa Cruz,2013,41
RIEGO,Potosí,2014,0.4
RIEGO,Santa Cruz,2014,154.7
RIEGO,Tarija,2014,155.5
CAMINOS,Oruro,2014,0.3
CAMINOS,Pando,2014,7.3
CAMINOS,Potosí,2014,103.3
CAMINOS,Santa Cruz,2014,27.5
RIEGO,Potosí,2015,0.3
RIEGO,Santa Cruz,2015,156.7
RIEGO,Tarija,2015,155.5
CAMINOS,Oruro,2015,0.3
CAMINOS,Pando,2015,4.7
CAMINOS,Potosí,2015,74.2
CAMINOS,Santa Cruz,2015,14.1
RIEGO,Potosí,2016,0.2
RIEGO,Santa Cruz,2016,160.7
RIEGO,Tarija,2016,155.3
CAMINOS,Oruro,2016,0.2
CAMINOS,Pando,2016,2
CAMINOS,Potosí,2016,45
CAMINOS,Santa Cruz,2016,6
RIEGO,Potosí,2017,0.1
RIEGO,Santa Cruz,2017,160.9
RIEGO,Tarija,2017,155.2
CAMINOS,Oruro,2017,0.1
CAMINOS,Pando,2017,38.2
CAMINOS,Potosí,2017,17.4
CAMINOS,Santa Cruz,2017,3.5
RIEGO,Potosí,2018,0
RIEGO,Santa Cruz,2018,151.8
RIEGO,Tarija,2018,155.2
CAMINOS,Oruro,2018,11.7
CAMINOS,Pando,2018,84.2
CAMINOS,Potosí,2018,2.7
CAMINOS,Santa Cruz,2018,1.5
RIEGO,Potosí,2019,0
RIEGO,Santa Cruz,2019,141
RIEGO,Tarija,2019,155.1
CAMINOS,Oruro,2019,28
CAMINOS,Pando,2019,97.6
CAMINOS,Potosí,2019,0.9
CAMINOS,Santa Cruz,2019,0
RIEGO,Potosí,2020,0
RIEGO,Santa Cruz,2020,134.3
RIEGO,Tarija,2020,155.1
CAMINOS,Oruro,2020,30
CAMINOS,Pando,2020,88.4
CAMINOS,Potosí,2020,0
CAMINOS,Santa Cruz,2020,0
RIEGO,Potosí,2021,0
RIEGO,Santa Cruz,2021,119.5
RIEGO,Tarija,2021,155.1
CAMINOS,Oruro,2021,25.7
CAMINOS,Pando,2021,88.4
CAMINOS,Potosí,2021,0
CAMINOS,Santa Cruz,2021,0
RIEGO,Potosí,2022,0
RIEGO,Santa Cruz,2022,106.5
RIEGO,Tarija,2022,155
CAMINOS,Oruro,2022,21.3
CAMINOS,Pando,2022,77.9
CAMINOS,Potosí,2022,0
CAMINOS,Santa Cruz,2022,0
